,Similarity,Representations,Measure,Rep_Mea,Domain,attribute_name,threshold
96,0.10717526055685986,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,deeplift,topk
97,18.57985808362981,Term distribution,renyi,Term renyi,OOD2,deeplift,topk
98,0.016663518110579756,Term distribution,cosine,Term cosine,OOD2,deeplift,topk
99,0.027254023882064733,Term distribution,euclidean,Term euclidean,OOD2,deeplift,topk
100,0.5005724340252026,Term distribution,variational,Term variational,OOD2,deeplift,topk
101,0.15681025432769446,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,deeplift,topk
102,0.004001333378255367,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,deeplift,topk
103,0.015651913311866387,Topic distribution,renyi,Topic renyi,OOD2,deeplift,topk
104,0.011510252952575684,Topic distribution,cosine,Topic cosine,OOD2,deeplift,topk
105,0.028501140647001072,Topic distribution,euclidean,Topic euclidean,OOD2,deeplift,topk
106,0.1320200115442276,Topic distribution,variational,Topic variational,OOD2,deeplift,topk
107,0.00401616794988513,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,deeplift,topk
108,0.151302022834555,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),gradients,topk
109,25.772356042463517,Term distribution,renyi,Term renyi,In Domain(Baseline),gradients,topk
110,0.013588196552470233,Term distribution,cosine,Term cosine,In Domain(Baseline),gradients,topk
111,0.03621754402063114,Term distribution,euclidean,Term euclidean,In Domain(Baseline),gradients,topk
112,0.59474192323293,Term distribution,variational,Term variational,In Domain(Baseline),gradients,topk
113,0.23754259590236693,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),gradients,topk
114,0.005165328737348318,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),gradients,topk
115,0.020213192944074386,Topic distribution,renyi,Topic renyi,In Domain(Baseline),gradients,topk
116,0.015057921409606934,Topic distribution,cosine,Topic cosine,In Domain(Baseline),gradients,topk
117,0.03886431473075247,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),gradients,topk
118,0.15860283374786377,Topic distribution,variational,Topic variational,In Domain(Baseline),gradients,topk
119,0.005189809482544661,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),gradients,topk
120,0.13815263857820873,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,gradients,topk
121,26.67950923921686,Term distribution,renyi,Term renyi,OOD1,gradients,topk
122,0.014959967246585881,Term distribution,cosine,Term cosine,OOD1,gradients,topk
123,0.04558672024535177,Term distribution,euclidean,Term euclidean,OOD1,gradients,topk
124,0.5671512698459262,Term distribution,variational,Term variational,OOD1,gradients,topk
125,0.2132712424702815,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,gradients,topk
126,0.009729127399623394,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,gradients,topk
127,0.039127949483200815,Topic distribution,renyi,Topic renyi,OOD1,gradients,topk
128,0.02789527177810669,Topic distribution,cosine,Topic cosine,OOD1,gradients,topk
129,0.060460049181189954,Topic distribution,euclidean,Topic euclidean,OOD1,gradients,topk
130,0.22731733322143555,Topic distribution,variational,Topic variational,OOD1,gradients,topk
131,0.009819760918617249,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,gradients,topk
132,0.13446955585790601,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,gradients,topk
133,27.122782915210145,Term distribution,renyi,Term renyi,OOD2,gradients,topk
134,0.009568374017886905,Term distribution,cosine,Term cosine,OOD2,gradients,topk
135,0.04189884614591241,Term distribution,euclidean,Term euclidean,OOD2,gradients,topk
136,0.5562739582756056,Term distribution,variational,Term variational,OOD2,gradients,topk
137,0.20641478973808988,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,gradients,topk
138,0.012388437986373901,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,gradients,topk
139,0.0507427744573744,Topic distribution,renyi,Topic renyi,OOD2,gradients,topk
140,0.027737200260162354,Topic distribution,cosine,Topic cosine,OOD2,gradients,topk
141,0.07095232723529149,Topic distribution,euclidean,Topic euclidean,OOD2,gradients,topk
142,0.26369205117225647,Topic distribution,variational,Topic variational,OOD2,gradients,topk
143,0.012527285143733025,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,gradients,topk
144,0.16846783602087065,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),scaled attention,topk
145,30.982035424628865,Term distribution,renyi,Term renyi,In Domain(Baseline),scaled attention,topk
146,0.017744452421381784,Term distribution,cosine,Term cosine,In Domain(Baseline),scaled attention,topk
147,0.021863273304124735,Term distribution,euclidean,Term euclidean,In Domain(Baseline),scaled attention,topk
148,0.6671067664557975,Term distribution,variational,Term variational,In Domain(Baseline),scaled attention,topk
149,0.26526875865080707,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),scaled attention,topk
150,0.0031536687165498734,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),scaled attention,topk
151,0.012233232792702001,Topic distribution,renyi,Topic renyi,In Domain(Baseline),scaled attention,topk
152,0.011511802673339844,Topic distribution,cosine,Topic cosine,In Domain(Baseline),scaled attention,topk
153,0.02723427884133138,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),scaled attention,topk
154,0.1265692412853241,Topic distribution,variational,Topic variational,In Domain(Baseline),scaled attention,topk
155,0.003160817315801978,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),scaled attention,topk
156,0.1711106172852454,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,scaled attention,topk
157,30.62142196714002,Term distribution,renyi,Term renyi,OOD1,scaled attention,topk
