,Unnamed: 0,Similarity,Representations,Measure,Rep_Mea,Domain,Task
5,5,0.0079002935085537,Term distribution,bhattacharyya,Term bhattacharyya,InDomain,AmazDigiMu
6,6,0.0003659365465864,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain,AmazDigiMu
7,7,0.005913567669399,Topic distribution,renyi,Topic renyi,InDomain,AmazDigiMu
8,8,0.0011199116706848,Topic distribution,cosine,Topic cosine,InDomain,AmazDigiMu
9,9,0.0082090208229159,Topic distribution,euclidean,Topic euclidean,InDomain,AmazDigiMu
10,10,0.0401615835726261,Topic distribution,variational,Topic variational,InDomain,AmazDigiMu
11,11,0.0003886978083755,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain,AmazDigiMu
12,12,0.0223093367862581,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,AmazDigiMu
13,13,2.2629357130447456,Term distribution,renyi,Term renyi,OOD1,AmazDigiMu
14,14,0.007170502516831,Term distribution,cosine,Term cosine,OOD1,AmazDigiMu
15,15,0.0121732743645648,Term distribution,euclidean,Term euclidean,OOD1,AmazDigiMu
16,16,0.2090243340056686,Term distribution,variational,Term variational,OOD1,AmazDigiMu
17,17,0.0270269716042643,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,AmazDigiMu
18,18,0.0113244410604238,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,AmazDigiMu
19,19,0.0494155583341819,Topic distribution,renyi,Topic renyi,OOD1,AmazDigiMu
20,20,0.0486165881156921,Topic distribution,cosine,Topic cosine,OOD1,AmazDigiMu
21,21,0.0627163591335503,Topic distribution,euclidean,Topic euclidean,OOD1,AmazDigiMu
22,22,0.2663535475730896,Topic distribution,variational,Topic variational,OOD1,AmazDigiMu
23,23,0.0114447828382253,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,AmazDigiMu
24,24,0.0256575426408255,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,AmazDigiMu
25,25,2.6095829132176034,Term distribution,renyi,Term renyi,OOD2,AmazDigiMu
26,26,0.0189667903467657,Term distribution,cosine,Term cosine,OOD2,AmazDigiMu
27,27,0.0207372808999618,Term distribution,euclidean,Term euclidean,OOD2,AmazDigiMu
28,28,0.2546421016857922,Term distribution,variational,Term variational,OOD2,AmazDigiMu
29,29,0.0306735533211995,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,AmazDigiMu
30,30,0.0146670714020729,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,AmazDigiMu
31,31,0.0617145389252468,Topic distribution,renyi,Topic renyi,OOD2,AmazDigiMu
32,32,0.0639445185661315,Topic distribution,cosine,Topic cosine,OOD2,AmazDigiMu
33,33,0.0743389287336848,Topic distribution,euclidean,Topic euclidean,OOD2,AmazDigiMu
34,34,0.3074391484260559,Topic distribution,variational,Topic variational,OOD2,AmazDigiMu
35,35,0.0148592013865709,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,AmazDigiMu
0,0,0.009306747193887,Term distribution,jensen-shannon,Term jensen-shannon,InDomain,AmazPantry
1,1,1.2897647214224663,Term distribution,renyi,Term renyi,InDomain,AmazPantry
2,2,0.0002367995308315,Term distribution,cosine,Term cosine,InDomain,AmazPantry
3,3,0.0022508963104231,Term distribution,euclidean,Term euclidean,InDomain,AmazPantry
4,4,0.0925909072945283,Term distribution,variational,Term variational,InDomain,AmazPantry
5,5,0.0116671695199196,Term distribution,bhattacharyya,Term bhattacharyya,InDomain,AmazPantry
6,6,0.0003399475244805,Topic distribution,jensen-shannon,Topic jensen-shannon,InDomain,AmazPantry
7,7,0.0033522484861105,Topic distribution,renyi,Topic renyi,InDomain,AmazPantry
8,8,0.0010035634040832,Topic distribution,cosine,Topic cosine,InDomain,AmazPantry
9,9,0.0074682336971732,Topic distribution,euclidean,Topic euclidean,InDomain,AmazPantry
10,10,0.0397853218019008,Topic distribution,variational,Topic variational,InDomain,AmazPantry
11,11,0.0003491057141218,Topic distribution,bhattacharyya,Topic bhattacharyya,InDomain,AmazPantry
12,12,0.0147689800475602,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,AmazPantry
13,13,1.8469791428623945,Term distribution,renyi,Term renyi,OOD1,AmazPantry
14,14,0.0024202606862888,Term distribution,cosine,Term cosine,OOD1,AmazPantry
15,15,0.0072860067977651,Term distribution,euclidean,Term euclidean,OOD1,AmazPantry
16,16,0.1559975135216013,Term distribution,variational,Term variational,OOD1,AmazPantry
17,17,0.0183222238971494,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,AmazPantry
18,18,0.0013124400284141,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,AmazPantry
19,19,0.0072148751786803,Topic distribution,renyi,Topic renyi,OOD1,AmazPantry
20,20,0.005451500415802,Topic distribution,cosine,Topic cosine,OOD1,AmazPantry
21,21,0.0178009569436675,Topic distribution,euclidean,Topic euclidean,OOD1,AmazPantry
22,22,0.0871128439903259,Topic distribution,variational,Topic variational,OOD1,AmazPantry
23,23,0.0013222490670159,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,AmazPantry
24,24,0.0171070038372922,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,AmazPantry
25,25,2.1114073190074705,Term distribution,renyi,Term renyi,OOD2,AmazPantry
26,26,0.0056268702154008,Term distribution,cosine,Term cosine,OOD2,AmazPantry
27,27,0.0113188472375677,Term distribution,euclidean,Term euclidean,OOD2,AmazPantry
