,Rationales_metrics,random,gradients,deeplift,ig,gradientshap,scaled attention,deepliftshap,attention,lime,Domain,thresholder,mean-f1,Task
19,AOPC_comprehensiveness,0.110721758774166,0.225583819116476,0.156143151908759,0.220002640617658,0.113121308630522,0.341467452634307,0.113050464199762,0.278244395661552,0.152641305906356,AsyD2,topk,0.8554671901224481,Agnews
20,Sufficiency,0.387040623497892,0.54012439998643,0.36913463420873,0.547888619068986,0.372499180457384,0.665497701237384,0.401998874525356,0.6344746606503381,0.419837352484045,AsyD2,contigious,0.8554671901224481,Agnews
21,Comprehensiveness,0.127595197637839,0.281237203852886,0.19221747581051,0.283655018300009,0.134989888372216,0.472344051208596,0.141724517716136,0.402842718376904,0.202440551468545,AsyD2,contigious,0.8554671901224481,Agnews
22,AOPC_sufficiency,0.306866965663533,0.387112990584802,0.298934906899486,0.384085822172068,0.298276474528375,0.456726562963375,0.312879832139734,0.429781321406014,0.314244456633234,AsyD2,contigious,0.8554671901224481,Agnews
23,AOPC_comprehensiveness,0.110721758774166,0.225583819116476,0.156143151908759,0.220002640617658,0.113121308630522,0.341467452634307,0.113050464199762,0.278244395661552,0.152641305906356,AsyD2,contigious,0.8554671901224481,Agnews
0,Sufficiency,0.518714015445311,0.5180863360342041,0.463708518721437,0.5209215430220571,0.49413829014909,0.59154283920848,0.488664782334843,0.5535664003295651,0.5245072243670641,SynD,topk,0.382289088704925,Xfact
1,Comprehensiveness,0.211865256967187,0.238275719053914,0.260539054952576,0.239242812061217,0.219405263449137,0.384934554856494,0.219622265084706,0.258887844418678,0.239898132548855,SynD,topk,0.382289088704925,Xfact
2,AOPC_sufficiency,0.393041833960077,0.402470969015415,0.355842780274487,0.405913022599328,0.373281635660289,0.455343944861356,0.363751905434955,0.401144048973855,0.405365698144639,SynD,topk,0.382289088704925,Xfact
3,AOPC_comprehensiveness,0.174916895779166,0.21257603222969,0.181756595281955,0.207450680192935,0.16791699394711,0.285998803173338,0.156654147077363,0.17909664432076,0.183807325241694,SynD,topk,0.382289088704925,Xfact
4,Sufficiency,0.518714015445311,0.5180863360342041,0.463708518721437,0.5209215430220571,0.49413829014909,0.59154283920848,0.488664782334843,0.5535664003295651,0.5245072243670641,SynD,contigious,0.382289088704925,Xfact
5,Comprehensiveness,0.211865256967187,0.238275719053914,0.260539054952576,0.239242812061217,0.219405263449137,0.384934554856494,0.219622265084706,0.258887844418678,0.239898132548855,SynD,contigious,0.382289088704925,Xfact
6,AOPC_sufficiency,0.393041833960077,0.402470969015415,0.355842780274487,0.405913022599328,0.373281635660289,0.455343944861356,0.363751905434955,0.401144048973855,0.405365698144639,SynD,contigious,0.382289088704925,Xfact
7,AOPC_comprehensiveness,0.174916895779166,0.21257603222969,0.181756595281955,0.207450680192935,0.16791699394711,0.285998803173338,0.156654147077363,0.17909664432076,0.183807325241694,SynD,contigious,0.382289088704925,Xfact
8,Sufficiency,0.59290242648822,0.586399015974716,0.5853380431530151,0.5994066707544771,0.5682626309691861,0.668906028783223,0.5657109334218361,0.616358169943101,0.5952857915117631,AsyD1,topk,0.374372055971775,Xfact
9,Comprehensiveness,0.165803007770463,0.206496341968165,0.206259441381501,0.205194094489573,0.180389516462633,0.319520098214674,0.192697555969208,0.21033061751088,0.184384655360456,AsyD1,topk,0.374372055971775,Xfact
10,AOPC_sufficiency,0.441702685949993,0.454307350712723,0.431666911422898,0.461521742936269,0.421111123733929,0.50838329795851,0.418772783529524,0.436427817903403,0.454140573529269,AsyD1,topk,0.374372055971775,Xfact
11,AOPC_comprehensiveness,0.138111485431165,0.174522463135064,0.149767123697843,0.170954380480672,0.138234297580297,0.240573280740968,0.143721126624549,0.142210295431743,0.146228719796214,AsyD1,topk,0.374372055971775,Xfact
12,Sufficiency,0.59290242648822,0.586399015974716,0.5853380431530151,0.5994066707544771,0.5682626309691861,0.668906028783223,0.5657109334218361,0.616358169943101,0.5952857915117631,AsyD1,contigious,0.374372055971775,Xfact
13,Comprehensiveness,0.165803007770463,0.206496341968165,0.206259441381501,0.205194094489573,0.180389516462633,0.319520098214674,0.192697555969208,0.21033061751088,0.184384655360456,AsyD1,contigious,0.374372055971775,Xfact
14,AOPC_sufficiency,0.441702685949993,0.454307350712723,0.431666911422898,0.461521742936269,0.421111123733929,0.50838329795851,0.418772783529524,0.436427817903403,0.454140573529269,AsyD1,contigious,0.374372055971775,Xfact
15,AOPC_comprehensiveness,0.138111485431165,0.174522463135064,0.149767123697843,0.170954380480672,0.138234297580297,0.240573280740968,0.143721126624549,0.142210295431743,0.146228719796214,AsyD1,contigious,0.374372055971775,Xfact
16,Sufficiency,0.586893151502993,0.5721511061282251,0.5765440146769161,0.577696902745927,0.560584258194715,0.6648573250740241,0.554484758115355,0.602000075488576,0.5941897976992431,AsyD2,topk,0.381663401339467,Xfact
17,Comprehensiveness,0.16073704266928,0.178961701007652,0.191852785054101,0.174937180819156,0.163218954368362,0.284704769579069,0.172407141760696,0.180371811434783,0.176492198276276,AsyD2,topk,0.381663401339467,Xfact
18,AOPC_sufficiency,0.440115008908157,0.4472072008183,0.42469012049002,0.450015560376321,0.416371397255595,0.502602910879289,0.412373597527838,0.430573469499233,0.451301223657439,AsyD2,topk,0.381663401339467,Xfact
19,AOPC_comprehensiveness,0.139455583125555,0.16001410285309,0.13965619066496,0.153301792087538,0.128153233367755,0.220803364895469,0.130375652117791,0.128973617117096,0.140453693853231,AsyD2,topk,0.381663401339467,Xfact
20,Sufficiency,0.586893151502993,0.5721511061282251,0.5765440146769161,0.577696902745927,0.560584258194715,0.6648573250740241,0.554484758115355,0.602000075488576,0.5941897976992431,AsyD2,contigious,0.381663401339467,Xfact
21,Comprehensiveness,0.16073704266928,0.178961701007652,0.191852785054101,0.174937180819156,0.163218954368362,0.284704769579069,0.172407141760696,0.180371811434783,0.176492198276276,AsyD2,contigious,0.381663401339467,Xfact
22,AOPC_sufficiency,0.440115008908157,0.4472072008183,0.42469012049002,0.450015560376321,0.416371397255595,0.502602910879289,0.412373597527838,0.430573469499233,0.451301223657439,AsyD2,contigious,0.381663401339467,Xfact
23,AOPC_comprehensiveness,0.139455583125555,0.16001410285309,0.13965619066496,0.153301792087538,0.128153233367755,0.220803364895469,0.130375652117791,0.128973617117096,0.140453693853231,AsyD2,contigious,0.381663401339467,Xfact
0,Sufficiency,0.147680260214504,0.257355666222045,0.183655799520033,0.296135347995424,0.155983679330284,0.7934391786288321,0.18402137676745,0.707608936773914,0.221749728805085,SynD,topk,0.710694963549325,Factcheck
1,Comprehensiveness,0.200526321568076,0.458783635916187,0.350831554239654,0.475428624312867,0.213752137607488,0.797617384576342,0.245820946186777,0.7443734418143031,0.211995694845819,SynD,topk,0.710694963549325,Factcheck
2,AOPC_sufficiency,0.178868239950342,0.25210342399034,0.209181553942446,0.264248290407095,0.18342349551247,0.500745135347965,0.202599018130972,0.428876067025535,0.189269400154458,SynD,topk,0.710694963549325,Factcheck
3,AOPC_comprehensiveness,0.187250123279863,0.365085670982771,0.284404384733243,0.367081067822563,0.203144296508063,0.533279600170622,0.21652561932026,0.500780462738989,0.180126168807742,SynD,topk,0.710694963549325,Factcheck
4,Sufficiency,0.147680260214504,0.257355666222045,0.183655799520033,0.296135347995424,0.155983679330284,0.7934391786288321,0.18402137676745,0.707608936773914,0.221749728805085,SynD,contigious,0.710694963549325,Factcheck
5,Comprehensiveness,0.200526321568076,0.458783635916187,0.350831554239654,0.475428624312867,0.213752137607488,0.797617384576342,0.245820946186777,0.7443734418143031,0.211995694845819,SynD,contigious,0.710694963549325,Factcheck
